distName,Parameter,Value
LALXN33162,Version,FL16A
LALXN33162,$modifier,CMDACC
LALXN33162,$state,operational
LALXN33162,$maintenanceRegionId,LTE
LALXN33162,$maintenanceRegionCId,MRC
LALXN33162,name,LALXN33162
LALXN33162,actAldSwUpdate,0
LALXN33162,actEthernetSec,0
LALXN33162,actMhaAutoConfig,0
LALXN33162,actRemoteRfDiag,1
LALXN33162,actTransportConfigFallback,0
LALXN33162,altitude,0
LALXN33162,configDataRevisionNumber,7601
LALXN33162,latitude,0
LALXN33162,longitude,0
LALXN33162,resetToTestDedicated,0
LALXN33162,sharedRfTechnologies,0
LALXN33162,timeZone,377
LALXN33162,validatePlanAgainstDetectedHW,0
LALXN33162/ANTL-1,$modifier,CMDACC
LALXN33162/ANTL-1,$state,operational
LALXN33162/ANTL-1,additionalRxGain,0
LALXN33162/ANTL-1,alDcVoltageEnabled,0
LALXN33162/ANTL-1,antId,0
LALXN33162/ANTL-1,antennaRoundTripDelay,45
LALXN33162/ANTL-1,antennaTotalLoss,-30
LALXN33162/ANTL-1,communication3gppEnabled,1
LALXN33162/ANTL-1,feederVoltage,-1
LALXN33162/ANTL-1,rModId,1
LALXN33162/ANTL-1,ulDelay,0
LALXN33162/ANTL-1,usedInUtran,0
LALXN33162/ANTL-1,vswrMajorAlarm,26
LALXN33162/ANTL-1,vswrMinorAlarm,15
LALXN33162/ANTL-10,$modifier,CMDACC
LALXN33162/ANTL-10,$state,operational
LALXN33162/ANTL-10,additionalRxGain,0
LALXN33162/ANTL-10,alDcVoltageEnabled,0
LALXN33162/ANTL-10,antId,3
LALXN33162/ANTL-10,antennaRoundTripDelay,45
LALXN33162/ANTL-10,antennaTotalLoss,-30
LALXN33162/ANTL-10,communication3gppEnabled,0
LALXN33162/ANTL-10,feederVoltage,-1
LALXN33162/ANTL-10,rModId,2
LALXN33162/ANTL-10,ulDelay,0
LALXN33162/ANTL-10,usedInUtran,0
LALXN33162/ANTL-10,vswrMajorAlarm,26
LALXN33162/ANTL-10,vswrMinorAlarm,15
LALXN33162/ANTL-11,$modifier,CMDACC
LALXN33162/ANTL-11,$state,operational
LALXN33162/ANTL-11,additionalRxGain,0
LALXN33162/ANTL-11,alDcVoltageEnabled,0
LALXN33162/ANTL-11,antId,4
LALXN33162/ANTL-11,antennaRoundTripDelay,45
LALXN33162/ANTL-11,antennaTotalLoss,-30
LALXN33162/ANTL-11,communication3gppEnabled,1
LALXN33162/ANTL-11,feederVoltage,-1
LALXN33162/ANTL-11,rModId,2
LALXN33162/ANTL-11,ulDelay,0
LALXN33162/ANTL-11,usedInUtran,0
LALXN33162/ANTL-11,vswrMajorAlarm,26
LALXN33162/ANTL-11,vswrMinorAlarm,15
LALXN33162/ANTL-12,$modifier,CMDACC
LALXN33162/ANTL-12,$state,operational
LALXN33162/ANTL-12,additionalRxGain,0
LALXN33162/ANTL-12,alDcVoltageEnabled,0
LALXN33162/ANTL-12,antId,5
LALXN33162/ANTL-12,antennaRoundTripDelay,45
LALXN33162/ANTL-12,antennaTotalLoss,-30
LALXN33162/ANTL-12,communication3gppEnabled,0
LALXN33162/ANTL-12,feederVoltage,-1
LALXN33162/ANTL-12,rModId,2
LALXN33162/ANTL-12,ulDelay,0
LALXN33162/ANTL-12,usedInUtran,0
LALXN33162/ANTL-12,vswrMajorAlarm,26
LALXN33162/ANTL-12,vswrMinorAlarm,15
LALXN33162/ANTL-2,$modifier,CMDACC
LALXN33162/ANTL-2,$state,operational
LALXN33162/ANTL-2,additionalRxGain,0
LALXN33162/ANTL-2,alDcVoltageEnabled,0
LALXN33162/ANTL-2,antId,1
LALXN33162/ANTL-2,antennaRoundTripDelay,45
LALXN33162/ANTL-2,antennaTotalLoss,-30
LALXN33162/ANTL-2,communication3gppEnabled,0
LALXN33162/ANTL-2,feederVoltage,-1
LALXN33162/ANTL-2,rModId,1
LALXN33162/ANTL-2,ulDelay,0
LALXN33162/ANTL-2,usedInUtran,0
LALXN33162/ANTL-2,vswrMajorAlarm,26
LALXN33162/ANTL-2,vswrMinorAlarm,15
LALXN33162/ANTL-3,$modifier,CMDACC
LALXN33162/ANTL-3,$state,operational
LALXN33162/ANTL-3,additionalRxGain,0
LALXN33162/ANTL-3,alDcVoltageEnabled,0
LALXN33162/ANTL-3,antId,2
LALXN33162/ANTL-3,antennaRoundTripDelay,45
LALXN33162/ANTL-3,antennaTotalLoss,-30
LALXN33162/ANTL-3,communication3gppEnabled,1
LALXN33162/ANTL-3,feederVoltage,-1
LALXN33162/ANTL-3,rModId,1
LALXN33162/ANTL-3,ulDelay,0
LALXN33162/ANTL-3,usedInUtran,0
LALXN33162/ANTL-3,vswrMajorAlarm,26
LALXN33162/ANTL-3,vswrMinorAlarm,15
LALXN33162/ANTL-4,$modifier,CMDACC
LALXN33162/ANTL-4,$state,operational
LALXN33162/ANTL-4,additionalRxGain,0
LALXN33162/ANTL-4,alDcVoltageEnabled,0
LALXN33162/ANTL-4,antId,3
LALXN33162/ANTL-4,antennaRoundTripDelay,45
LALXN33162/ANTL-4,antennaTotalLoss,-30
LALXN33162/ANTL-4,communication3gppEnabled,0
LALXN33162/ANTL-4,feederVoltage,-1
LALXN33162/ANTL-4,rModId,1
LALXN33162/ANTL-4,ulDelay,0
LALXN33162/ANTL-4,usedInUtran,0
LALXN33162/ANTL-4,vswrMajorAlarm,26
LALXN33162/ANTL-4,vswrMinorAlarm,15
LALXN33162/ANTL-5,$modifier,CMDACC
LALXN33162/ANTL-5,$state,operational
LALXN33162/ANTL-5,additionalRxGain,0
LALXN33162/ANTL-5,alDcVoltageEnabled,0
LALXN33162/ANTL-5,antId,4
LALXN33162/ANTL-5,antennaRoundTripDelay,45
LALXN33162/ANTL-5,antennaTotalLoss,-30
LALXN33162/ANTL-5,communication3gppEnabled,1
LALXN33162/ANTL-5,feederVoltage,-1
LALXN33162/ANTL-5,rModId,1
LALXN33162/ANTL-5,ulDelay,0
LALXN33162/ANTL-5,usedInUtran,0
LALXN33162/ANTL-5,vswrMajorAlarm,26
LALXN33162/ANTL-5,vswrMinorAlarm,15
LALXN33162/ANTL-6,$modifier,CMDACC
LALXN33162/ANTL-6,$state,operational
LALXN33162/ANTL-6,additionalRxGain,0
LALXN33162/ANTL-6,alDcVoltageEnabled,0
LALXN33162/ANTL-6,antId,5
LALXN33162/ANTL-6,antennaRoundTripDelay,45
LALXN33162/ANTL-6,antennaTotalLoss,-30
LALXN33162/ANTL-6,communication3gppEnabled,0
LALXN33162/ANTL-6,feederVoltage,-1
LALXN33162/ANTL-6,rModId,1
LALXN33162/ANTL-6,ulDelay,0
LALXN33162/ANTL-6,usedInUtran,0
LALXN33162/ANTL-6,vswrMajorAlarm,26
LALXN33162/ANTL-6,vswrMinorAlarm,15
LALXN33162/ANTL-7,$modifier,CMDACC
LALXN33162/ANTL-7,$state,operational
LALXN33162/ANTL-7,additionalRxGain,0
LALXN33162/ANTL-7,alDcVoltageEnabled,1
LALXN33162/ANTL-7,antId,0
LALXN33162/ANTL-7,antennaRoundTripDelay,45
LALXN33162/ANTL-7,antennaTotalLoss,-30
LALXN33162/ANTL-7,communication3gppEnabled,1
LALXN33162/ANTL-7,feederVoltage,-1
LALXN33162/ANTL-7,rModId,2
LALXN33162/ANTL-7,ulDelay,0
LALXN33162/ANTL-7,usedInUtran,0
LALXN33162/ANTL-7,vswrMajorAlarm,26
LALXN33162/ANTL-7,vswrMinorAlarm,15
LALXN33162/ANTL-8,$modifier,CMDACC
LALXN33162/ANTL-8,$state,operational
LALXN33162/ANTL-8,additionalRxGain,0
LALXN33162/ANTL-8,alDcVoltageEnabled,0
LALXN33162/ANTL-8,antId,1
LALXN33162/ANTL-8,antennaRoundTripDelay,45
LALXN33162/ANTL-8,antennaTotalLoss,-30
LALXN33162/ANTL-8,communication3gppEnabled,0
LALXN33162/ANTL-8,feederVoltage,-1
LALXN33162/ANTL-8,rModId,2
LALXN33162/ANTL-8,ulDelay,0
LALXN33162/ANTL-8,usedInUtran,0
LALXN33162/ANTL-8,vswrMajorAlarm,26
LALXN33162/ANTL-8,vswrMinorAlarm,15
LALXN33162/ANTL-9,$modifier,CMDACC
LALXN33162/ANTL-9,$state,operational
LALXN33162/ANTL-9,additionalRxGain,0
LALXN33162/ANTL-9,alDcVoltageEnabled,0
LALXN33162/ANTL-9,antId,2
LALXN33162/ANTL-9,antennaRoundTripDelay,45
LALXN33162/ANTL-9,antennaTotalLoss,-30
LALXN33162/ANTL-9,communication3gppEnabled,1
LALXN33162/ANTL-9,feederVoltage,-1
LALXN33162/ANTL-9,rModId,2
LALXN33162/ANTL-9,ulDelay,0
LALXN33162/ANTL-9,usedInUtran,0
LALXN33162/ANTL-9,vswrMajorAlarm,26
LALXN33162/ANTL-9,vswrMinorAlarm,15
LALXN33162/BTSSCL-1,$modifier,CMDACC
LALXN33162/BTSSCL-1,$state,operational
LALXN33162/BTSSCL-1,actDtPim,0
LALXN33162/BTSSCL-1,actPimTesting,0
LALXN33162/BTSSCL-1,actPowerMeter,0
LALXN33162/BTSSCL-1,actRfiTesting,0
LALXN33162/BTSSCL-1,actRxMonitoring,1
LALXN33162/BTSSCL-1,activeSWReleaseVersion,FL16A_ENB_0000_006051_000000
LALXN33162/BTSSCL-1,btsId,33162
LALXN33162/BTSSCL-1,btsName,LALXN33162
LALXN33162/BTSSCL-1,btsSyncMode,0
LALXN33162/BTSSCL-1,delayCompPerEnbEnabled,1
LALXN33162/BTSSCL-1,ext1ppsClkOutOn,0
LALXN33162/BTSSCL-1,ext2M048ClkOutOn,0
LALXN33162/BTSSCL-1,holdOverModeUsed,0
LALXN33162/BTSSCL-1,ppsTimingOffset,0
LALXN33162/BTSSCL-1,rfSharingEnabled,0
LALXN33162/BTSSCL-1,syncPropagationEnabled,0
LALXN33162/SMOD-1,$modifier,CMDACC
LALXN33162/SMOD-1,$state,operational
LALXN33162/SMOD-1,climateControlProfiling,0
LALXN33162/SMOD-1,syncInputPrio,1
LALXN33162/SMOD-1,syncInputType,5
LALXN33162/SMOD-1,cancelDelay,0
LALXN33162/SMOD-1,descr,Main Power Failure
LALXN33162/SMOD-1,id,1
LALXN33162/SMOD-1,inUse,1
LALXN33162/SMOD-1,polarity,1
